Title Incident Report,Segment,Location,Date,Department / Area,Process,Operation Mode,Machine Category,Machine Type,Riskfactor,Repeat Incident,Maximum Possible Damage/Harm Occurred,Employee_Type,Gender,Type of Injury,Injured Body Part,Lost Days,Accident type
hand injury,SY,ElJem,2019-01-21,MR,I - 4008 - assembly,Normal mode,Other,,10.2 Work organization,YES,YES,DRX,Male,Bruise,Hand,7,Work related accident
hand injury,SY,ElJem,2019-01-16,Production,I - 4008 - assembly,Normal mode,Other,,8.4 Inadequate escape routes,NO,YES,DRX,Female,Bruise,Hand,10,Work related accident
back injury,SY,ElJem,2019-01-29,IR,I - 4023 - foldback,Normal mode,Other,-,10.2 Work organization,YES,YES,DRX,Male,Sprain / Strain,Body,15,Work related accident
hand injury,SY,ElJem,2019-02-20,MR,I - 4008 - assembly,Normal mode,Other,,"8.5 Insufficient room to move at the workplace, unfavorable workplace requirement, insufficient break rooms, sanitary rooms",YES,YES,DRX,Female,Bruise,Hand,15,Work related accident
eye injury,SY,ElJem,2019-02-25,MM,I - 4008 - assembly,Normal mode,Other,,8.4 Inadequate escape routes,YES,YES,DRX,Female,Other,Eye,13,Work related accident
ankle injury,SY,ElJem,2019-02-28,IR,I - 4008 - assembly,Normal mode,Other,,"9.1 Lifting, holding, carrying or pulling, pushing",YES,YES,DRX,Female,Sprain / Strain,Hand,15,Work related accident
hand injury,SY,ElJem,2019-01-03,MR,I - 4008 - assembly,Normal mode,Other,,"1.5 Falling, slipping, stumbling, tripping",NO,YES,DRX,Male,Sprain / Strain,Hand,7,Work related accident
hand injury,SY,ElJem,2019-07-03,WC,-,Normal mode,Tools / Utilities,,10.2 Work organization,YES,YES,DRX,Female,Sprain / Strain,Hand,12,Work related accident
lumbago,SY,ElJem,2019-03-15,Logistics,I - 4008 - assembly,Normal mode,Other,,9.5 Working with increased exertion and/or  applied strength,YES,YES,DRX,Male,Other,Body,10,Work related accident
hand injury,SY,ElJem,2019-03-19,IR,I - 4008 - assembly,Normal mode,Other,,9.2 Manual work requiring a low level of physical strength,NO,YES,DRX,Male,Stab injury,Hand,5,Work related accident
back injury,SY,ElJem,2019-01-04,MM,I - 3001 - drilling - vacuum_holes,Normal mode,Other,,9.2 Manual work requiring a low level of physical strength,NO,YES,DRX,Male,Sprain / Strain,Body,5,Work related accident
hand injury,SY,ElJem,2019-02-04,assembly,I - 3013 - cutting - manual,Malfunction,Machine Tool,,"5.1 Combustible solids, liquids, gases",YES,YES,DRX,Male,Cut,Hand,21,Work related accident
