Title_Incident_Report,Segment,Location,Department_Area,Incident_Type,Process,Operation_Mode,Machine_Category,Machine_Type,Risk_Factor,Repeat_Incident,Maximum_Possible_Damage_Harm_Occurred,Employee_Type,Gender,Type_Of_Injury,Injured_Body_Part,Lost_Days,Damage_Harm_Sufficient_and_Correct_in_RA,accident type ,Date_fix
Left Hand Injury,Electric,SousseMETS,Production,A2-Injury with lost time,I - 7003 - measurement,Normal operation,Other,,1.1 - Controlled moved unprotected parts,NO,YES,DRX,Male,Abrasion,Hand,10.0,NO,,28/3/2019
Left Index Finger Injury,Electric,SousseMETS,VK,A2-Injury with lost time,I - 3020 - cutting - roll_goods,Normal operation,ProcElectrics Machine,SERTInteriorSAGE (::),1.1 - Controlled moved unprotected parts,YES,YES,DRX,Female,Crush/Bruise,Hand,15.0,YES,,2/4/2019
Left Hand Injury,Electric,SousseMETS,Production,A2-Injury with lost time,I - 7003 - measurement,Normal operation,Other,,1.1 - Controlled moved unprotected parts,NO,YES,DRX,Male,Abrasion,Hand,10.0,NO,,27/3/2019
Left Second Finger Wound,Electric,SousseMETS,VK,A2-Injury with lost time,I - 3013 - cutting - manual,Normal operation,Other,Coupe tElectrica,1.1 - Controlled moved unprotected parts,NO,YES,DRX,Female,Stab injury,Hand,10.0,NO,,1/3/2019
Right Elbow Injury,Electric,SousseMETS,Zeta,A2-Injury with lost time,E - 4001 crimping - contact_part,Normal operation,ProcElectrics Machine,Hanke 971,1.1 - Controlled moved unprotected parts,YES,NO,DRX,Male,Stab injury,Hand,12.0,YES,,28/6/2019
Back Injury,System,SousseMETS,BX8,A2-Injury with lost time,E - 4003 assembly - comb_conectro_/fuse_beam,Normal operation,Tools / Utilities,plan de travail,1.1 - Controlled moved unprotected parts,NO,NO,DRX,Female,Crush/Bruise,Body,12.0,YES,,12/12/2019
Open Index Finger Wound,Electric,SousseMETS,Zeta,A2-Injury with lost time,E - 4001 crimping - contact_part,Normal operation,ProcElectrics Machine,Hanke 971,1.1 - Controlled moved unprotected parts,YES,NO,DRX,Male,Stab injury,Hand,12.0,YES,,7/2/2019
Right Middle Finger Injury,Electric,SousseMETS,KS,A2-Injury with lost time,I - 3022 - cutting - machine,Normal operation,ProcElectrics Machine,schleuniger,1.1 - Controlled moved unprotected parts,NO,NO,DRX,Male,Laceration,Hand,4.0,NO,,1/10/2019
Leather Mold Accident,Interior,SousseUATS,Production,A2-Injury with lost time,I - 3002 - cutting - leather,Normal operation,Metal Working Machine,cutting mold,1.1 - Controlled moved unprotected parts,NO,YES,DRX,Male,Abrasion,Hand,3.0,NO,,8/1/2019
Left Big Toe Contusion,System,ElJem,IR,A2-Injury with lost time,I - 4008 - assembly,Normal operation,Conveyor System / Robot,AGV SystemSTEM,1.2 - Parts with dangerous surfaces,NO,YES,DRX,Female,Sprain/Strain,Foot,15.0,NO,,16/4/2019
Head Injury,System,ElJem,IR,A2-Injury with lost time,E - 8001 commInteriorsioning,Normal operation,Other,,1.2 - Parts with dangerous surfaces,NO,YES,DRX,Male,Other,Head,7.0,YES,,7/6/2019
Right Knee Injury,System,ElJem,MM,A2-Injury with lost time,I - 4008 - assembly,Normal operation,Other,,1.2 - Parts with dangerous surfaces,YES,NO,DRX,Female,Sprain/Strain,Foot,7.0,NO,,3/7/2019
Right Knee Injury,System,ElJem,MM,A2-Injury with lost time,I - 4008 - assembly,Normal operation,Other,,1.2 - Parts with dangerous surfaces,YES,NO,DRX,Female,Sprain/Strain,Foot,8.0,NO,,3/7/2019
